airport_id,AIRPORT,orig_pm
12892,LAX,85534859450
12896,LBB,207703865
12898,LBE,53011754
12899,LBF,3286646
12902,LBL,2218764
12915,LCH,18794978
12916,LCI,17392
12917,LCK,112938832
12927,LDM,1872
12932,LEB,1507058
12934,LEE,7640
12944,LEW,6035
12945,LEX,304532243
12951,LFT,86061713
12953,LGA,13067432313
12954,LGB,1645258133
12965,LGU,1351719
12982,LIH,2418159324
12992,LIT,561953286
12993,LIV,385
13002,LKE,1113735
13003,LKK,146680
13008,LKP,8421
13015,LLY,816
13016,LMA,28416
13024,LMT,10416
13029,LNK,67177391
13032,LNS,1033686
13034,LNY,2198561
13046,LOZ,18382
13049,LPC,48
13055,LPS,31622
13057,LPW,50
13061,LRD,86455900
13072,LRU,300300
13076,LSE,10269273
13077,LSF,11500
13083,LSR,3871
13087,LSV,27600
13105,LUK,1402019
13109,LUP,94269
13111,LUR,17512
13115,LVD,1458
13117,LVK,20660
13121,LWB,1623161
13125,LWM,1201
13127,LWS,20505146
13139,LYH,15162265
13144,LYU,1667
13151,LZU,5847
13152,MA1,3892
13158,MAF,292965910
13176,MAZ,625024
13182,MBL,1086251
13184,MBS,16100238
13192,MCC,1824
13194,MCE,1071908
13196,MCG,442830
13198,MCI,4540114059
13200,MCK,507068
13203,MCN,9780355
13204,MCO,31759632060
13211,MCW,1600689
13221,MDH,155397
13226,MDO,1232
13230,MDT,385920439
13232,MDW,9461275621
13241,MEI,6291565
13242,MEJ,8824
13244,MEM,1561120504
13249,MER,740
13251,MEV,714
13256,MFE,271982113
13264,MFR,270436970
13277,MGM,65249766
13280,MGR,8010
13282,MGW,841693
13287,MHE,24432
13290,MHK,23836792
13295,MHR,44885
13296,MHT,413884532
13297,MHV,711
13303,MIA,39063775957
13304,MIB,33463
13314,MIO,7688
13321,MIV,28828
13338,MJX,1205
13341,MKC,3622717
13342,MKE,2351874221
13344,MKG,529584
13347,MKK,4222976
13348,MKL,953758
13354,MKT,6327
13360,MLB,612708366
13361,MLC,436
13367,MLI,169006790
13369,MLL,174866
13377,MLU,35503574
13381,MLY,6010
13388,MMH,1097213
13398,MMU,519348
13415,MNT,15930
13418,MNZ,103084
13422,MOB,114192140
13424,MOD,4916
13433,MOT,93949432
13434,MOU,296867
13439,MPB,13043
13446,MPO,3320
13450,MPV,3230
13459,MQT,13928802
13461,MQY,796359
13467,MRI,409611
13469,MRK,53722
13476,MRY,187659652
13484,MSL,2413643
